Date,JPM,MS,BAC,C,WFC,BARC.L,DB,CS,UBS,HSBC
2010-01-04 00:00:00,42.849998474121094,30.90999984741211,15.6899995803833,34.0,27.31999969482422,259.1565856933594,69.8759536743164,,16.020000457763672,58.31999969482422
2010-01-05 00:00:00,43.68000030517578,32.040000915527344,16.200000762939453,35.29999923706055,28.06999969482422,275.3682861328125,71.21183013916016,,16.139999389648438,59.25
2010-01-06 00:00:00,43.91999816894531,32.45000076293945,16.389999389648438,36.400001525878906,28.110000610351562,283.589599609375,69.98091888427734,,16.09000015258789,59.31999969482422
2010-01-07 00:00:00,44.790000915527344,32.91999816894531,16.93000030517578,36.5,29.1299991607666,291.4414978027344,70.77290344238281,,16.149999618530273,59.130001068115234
2010-01-08 00:00:00,44.68000030517578,32.25,16.780000686645508,35.900001525878906,28.860000610351562,296.1064147949219,73.33015441894531,,16.739999771118164,59.0
2010-01-11 00:00:00,44.529998779296875,32.040000915527344,16.93000030517578,36.29999923706055,28.799999237060547,292.82708740234375,72.91984558105469,,16.799999237060547,59.040000915527344
2010-01-12 00:00:00,43.4900016784668,31.1299991607666,16.360000610351562,35.20000076293945,28.079999923706055,292.4576110839844,70.70610809326172,,16.3700008392334,58.79999923706055
2010-01-13 00:00:00,44.25,31.260000228881836,16.6200008392334,35.0,28.579999923706055,289.7786865234375,70.32442474365234,,16.270000457763672,58.86000061035156
2010-01-14 00:00:00,44.689998626708984,31.200000762939453,16.81999969482422,35.099998474121094,28.989999771118164,294.3512878417969,69.9427490234375,,16.309999465942383,58.560001373291016
2010-01-15 00:00:00,43.68000030517578,30.3799991607666,16.260000228881836,34.20000076293945,28.079999923706055,287.4693908691406,66.53626251220703,,15.65999984741211,57.54999923706055
2010-01-18 00:00:00,,,,,,293.5198974609375,,,,
2010-01-19 00:00:00,43.279998779296875,31.15999984741211,16.31999969482422,35.400001525878906,28.280000686645508,288.3006896972656,67.48091888427734,,15.6899995803833,57.619998931884766
2010-01-20 00:00:00,43.400001525878906,30.6299991607666,16.489999771118164,34.599998474121094,27.81999969482422,277.9085998535156,65.53434753417969,,15.220000267028809,56.040000915527344
2010-01-21 00:00:00,40.540000915527344,29.34000015258789,15.470000267028809,32.70000076293945,28.0,261.4197082519531,62.595420837402344,,14.65999984741211,54.7400016784668
2010-01-22 00:00:00,39.15999984741211,27.799999237060547,14.899999618530273,32.5,27.260000228881836,250.65809631347656,59.29389190673828,,14.010000228881836,53.540000915527344
2010-01-25 00:00:00,39.209999084472656,27.739999771118164,14.979999542236328,32.29999923706055,27.65999984741211,254.95350646972656,60.95419692993164,,14.140000343322754,54.900001525878906
2010-01-26 00:00:00,38.439998626708984,27.329999923706055,14.770000457763672,31.5,26.989999771118164,254.95350646972656,58.959922790527344,,13.609999656677246,54.08000183105469
2010-01-27 00:00:00,39.33000183105469,27.950000762939453,15.1899995803833,32.0,28.200000762939453,246.5012969970703,59.742366790771484,,13.6899995803833,54.20000076293945
2010-01-28 00:00:00,39.47999954223633,27.489999771118164,15.369999885559082,32.400001525878906,28.450000762939453,244.74620056152344,58.67366409301758,,13.550000190734863,53.900001525878906
2010-01-29 00:00:00,38.939998626708984,26.780000686645508,15.180000305175781,33.20000076293945,28.43000030517578,249.91909790039062,58.17748260498047,,13.010000228881836,53.5099983215332
2010-02-01 00:00:00,39.630001068115234,27.559999465942383,15.420000076293945,33.400001525878906,28.93000030517578,260.6806945800781,60.54389190673828,,13.3100004196167,54.58000183105469
2010-02-02 00:00:00,40.54999923706055,28.059999465942383,15.600000381469727,34.099998474121094,28.790000915527344,267.5625915527344,62.404579162597656,,13.609999656677246,54.84000015258789
2010-02-03 00:00:00,40.290000915527344,27.889999389648438,15.529999732971191,33.70000076293945,28.139999389648438,272.8280029296875,61.14503860473633,,13.800000190734863,54.400001525878906
2010-02-04 00:00:00,38.349998474121094,26.6299991607666,14.75,31.799999237060547,27.059999465942383,251.44329833984375,56.8702278137207,,12.949999809265137,51.790000915527344
2010-02-05 00:00:00,38.29999923706055,27.260000228881836,15.0,32.20000076293945,27.420000076293945,248.4873046875,56.8129768371582,,13.109999656677246,51.380001068115234
2010-02-08 00:00:00,37.70000076293945,26.600000381469727,14.479999542236328,31.5,26.43000030517578,247.5635986328125,55.24809265136719,,12.84000015258789,50.310001373291016
2010-02-09 00:00:00,38.38999938964844,27.1299991607666,14.470000267028809,31.799999237060547,26.709999084472656,248.764404296875,59.3702278137207,,12.8100004196167,51.45000076293945
2010-02-10 00:00:00,38.869998931884766,27.510000228881836,14.670000076293945,32.0,27.18000030517578,256.6625061035156,59.86641311645508,,12.819999694824219,51.54999923706055
2010-02-11 00:00:00,39.02000045776367,27.1200008392334,14.630000114440918,32.099998474121094,27.079999923706055,247.88690185546875,58.96946716308594,,12.739999771118164,51.869998931884766
2010-02-12 00:00:00,38.95000076293945,27.15999984741211,14.449999809265137,31.799999237060547,26.8799991607666,242.02110290527344,57.79580307006836,,12.729999542236328,51.0099983215332
2010-02-15 00:00:00,,,,,,254.0760040283203,,,,
2010-02-16 00:00:00,40.06999969482422,27.81999969482422,15.15999984741211,33.099998474121094,27.389999389648438,271.3500061035156,60.85877990722656,,13.5600004196167,52.540000915527344
2010-02-17 00:00:00,40.040000915527344,27.389999389648438,15.65999984741211,34.099998474121094,27.329999923706055,279.24798583984375,60.53435134887695,,13.550000190734863,53.38999938964844
2010-02-18 00:00:00,40.40999984741211,27.260000228881836,15.880000114440918,34.29999923706055,27.34000015258789,284.7904968261719,61.8129768371582,,13.65999984741211,53.619998931884766
