,gross_domestic_product,unemployment_rate,inflation_rate,interest_rate,consumer_price_index,producer_price_index,balance_of_trade,industrial_production_index,consumer_confidence_index
1913-03-10,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-11,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-12,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-13,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-14,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-15,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-16,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-17,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-18,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-19,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-20,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-21,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-22,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-23,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-24,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-25,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-26,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-27,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-28,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-29,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-30,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-31,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-01,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-02,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-03,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-04,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-05,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-06,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-07,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-08,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-09,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-10,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-11,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-12,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-13,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-14,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-15,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-16,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-17,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-18,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-19,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-20,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-21,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-22,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-23,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-24,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-25,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-26,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-27,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-28,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-29,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-04-30,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-05-01,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-02,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-03,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-04,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-05,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-06,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-07,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-08,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-09,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-10,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-11,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-12,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-13,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-14,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-15,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-16,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-17,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-18,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-19,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-20,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-21,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-22,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-23,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-24,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-25,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-26,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-27,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-28,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-29,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-30,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-05-31,243.164,3.4,9.7,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-01,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-02,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-03,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-04,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-05,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-06,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-07,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-08,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-09,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-10,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-11,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-12,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-13,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-14,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-15,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-16,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-17,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-18,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-19,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-20,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-21,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-22,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-23,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-24,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-25,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-26,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-27,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-28,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-29,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-06-30,243.164,3.4,9.8,2.83,21.48,11.9,-2026.0,4.8665,86.2
1913-07-01,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-02,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-03,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-04,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-05,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
