,gross_domestic_product,unemployment_rate,inflation_rate,interest_rate,consumer_price_index,producer_price_index,balance_of_trade,industrial_production_index,consumer_confidence_index
1923-07-06,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-07,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-08,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-09,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-10,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-11,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-12,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-13,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-14,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-15,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-16,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-17,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-18,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-19,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-20,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-21,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-22,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-23,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-24,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-25,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-26,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-27,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-28,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-29,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-30,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-07-31,243.164,3.4,17.2,2.83,21.48,17.0,-2026.0,6.1839,86.2
1923-08-01,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-02,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-03,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-04,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-05,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-06,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-07,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-08,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-09,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-10,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-11,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-12,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-13,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-14,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-15,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-16,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-17,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-18,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-19,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-20,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-21,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-22,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-23,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-24,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-25,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-26,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-27,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-28,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-29,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-30,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-08-31,243.164,3.4,17.1,2.83,21.48,16.9,-2026.0,6.0764,86.2
1923-09-01,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-02,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-03,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-04,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-05,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-06,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-07,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-08,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-09,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-10,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-11,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-12,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-13,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-14,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-15,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-16,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-17,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-18,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-19,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-20,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-21,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-22,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-23,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-24,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-25,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-26,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-27,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-28,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-29,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-09-30,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,5.942,86.2
1923-10-01,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-02,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-03,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-04,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-05,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-06,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-07,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-08,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-09,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-10,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-11,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-12,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-13,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-14,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-15,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-16,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-17,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-18,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-19,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-20,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-21,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-22,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-23,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-24,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-25,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-26,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-27,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-28,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-29,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-30,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-10-31,243.164,3.4,17.3,2.83,21.48,17.1,-2026.0,5.9151,86.2
1923-11-01,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-02,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-03,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-04,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-05,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-06,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-07,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-08,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-09,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-10,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-11,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-12,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-13,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-14,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-15,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-16,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-17,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-18,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-19,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-20,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-21,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-22,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-23,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-24,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-25,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-26,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-27,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-28,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-29,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-11-30,243.164,3.4,17.3,2.83,21.48,17.0,-2026.0,5.9151,86.2
1923-12-01,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-02,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-03,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-04,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-05,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-06,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-07,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-08,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-09,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-10,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-11,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-12,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-13,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-14,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-15,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-16,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-17,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-18,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-19,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-20,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-21,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-22,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-23,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-24,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-25,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-26,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-27,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-28,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-29,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-30,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1923-12-31,243.164,3.4,17.3,2.83,21.48,16.9,-2026.0,5.7806,86.2
1924-01-01,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-02,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-03,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-04,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-05,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-06,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-07,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-08,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-09,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-10,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-11,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-12,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-13,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-14,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-15,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-16,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-17,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-18,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-19,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-20,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-21,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-22,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-23,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-24,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-25,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-26,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-27,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-28,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-29,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-30,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-01-31,243.164,3.4,17.3,2.83,21.48,17.2,-2026.0,5.9151,86.2
1924-02-01,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-02,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-03,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-04,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-05,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-06,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-07,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-08,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-09,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-10,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-11,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-12,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-13,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-14,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-15,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-16,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-17,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-18,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-19,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-20,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-21,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-22,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-23,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-24,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-25,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-26,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-27,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-28,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-02-29,243.164,3.4,17.2,2.83,21.48,17.2,-2026.0,6.0226,86.2
1924-03-01,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-02,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-03,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-04,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-05,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-06,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-07,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-08,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-09,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-10,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-11,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-12,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-13,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-14,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-15,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-16,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-17,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-18,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-19,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-20,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-21,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-22,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-23,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-24,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-25,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-26,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-27,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-28,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-29,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-30,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-03-31,243.164,3.4,17.1,2.83,21.48,17.0,-2026.0,5.9151,86.2
1924-04-01,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-02,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-03,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-04,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-05,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-06,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-07,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-08,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-09,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-10,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-11,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-12,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-13,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-14,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-15,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-16,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-17,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-18,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-19,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-20,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-21,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-22,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-23,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-24,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-25,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-26,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-27,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-28,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-29,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-04-30,243.164,3.4,17.0,2.83,21.48,16.7,-2026.0,5.7269,86.2
1924-05-01,243.164,3.4,17.0,2.83,21.48,16.5,-2026.0,5.4849,86.2
1924-05-02,243.164,3.4,17.0,2.83,21.48,16.5,-2026.0,5.4849,86.2
1924-05-03,243.164,3.4,17.0,2.83,21.48,16.5,-2026.0,5.4849,86.2
