Date,^TNX,^IRX,LQD,MUB,HYG,EMB,MBB
2010-01-04,3.8410000801086426,0.054999999701976776,104.69999694824219,102.9000015258789,88.52999877929688,101.93000030517578,106.06999969482422
2010-01-05,3.755000114440918,0.05999999865889549,105.19999694824219,103.01000213623047,88.94999694824219,102.55000305175781,106.56999969482422
2010-01-06,3.808000087738037,0.04500000178813934,104.88999938964844,102.86000061035156,89.18000030517578,102.69000244140625,106.56999969482422
2010-01-07,3.822000026702881,0.04500000178813934,105.0199966430664,102.9800033569336,89.54000091552734,102.16000366210938,106.4000015258789
2010-01-08,3.808000087738037,0.03999999910593033,105.25,103.0,89.68000030517578,102.27999877929688,106.55000305175781
2010-01-11,3.818000078201294,0.02500000037252903,105.36000061035156,103.0,89.5999984741211,103.05999755859375,106.5
2010-01-12,3.7190001010894775,0.03999999910593033,105.55999755859375,103.19999694824219,89.13999938964844,103.08000183105469,106.93000030517578
2010-01-13,3.7829999923706055,0.05000000074505806,105.12000274658203,102.91000366210938,89.33999633789062,102.8499984741211,106.7300033569336
2010-01-14,3.7339999675750732,0.04500000178813934,105.5,103.20999908447266,89.44000244140625,102.30999755859375,106.8499984741211
2010-01-15,3.6760001182556152,0.054999999701976776,105.45999908447266,103.30000305175781,89.08000183105469,102.25,107.06999969482422
2010-01-19,3.7070000171661377,0.05000000074505806,105.55000305175781,103.19999694824219,89.12000274658203,102.41000366210938,107.2300033569336
2010-01-20,3.6589999198913574,0.05000000074505806,105.4800033569336,103.23999786376953,88.98999786376953,102.52999877929688,107.23999786376953
2010-01-21,3.6110000610351562,0.03999999910593033,105.76000213623047,103.29000091552734,87.5999984741211,102.3499984741211,107.33000183105469
2010-01-22,3.5980000495910645,0.04500000178813934,105.5999984741211,103.22000122070312,86.7699966430664,102.05999755859375,107.27999877929688
2010-01-25,3.630000114440918,0.04500000178813934,105.58999633789062,103.36000061035156,86.9000015258789,102.0999984741211,107.36000061035156
2010-01-26,3.630000114440918,0.06499999761581421,105.30999755859375,103.1500015258789,87.01000213623047,102.06999969482422,107.36000061035156
2010-01-27,3.6440000534057617,0.07000000029802322,104.93000030517578,103.05000305175781,87.04000091552734,101.83999633789062,107.37999725341797
2010-01-28,3.6579999923706055,0.07000000029802322,104.77999877929688,103.04000091552734,86.66999816894531,101.5,107.41000366210938
2010-01-29,3.6089999675750732,0.07000000029802322,105.44999694824219,103.13999938964844,86.2300033569336,101.2300033569336,107.45999908447266
2010-02-01,3.6540000438690186,0.08500000089406967,104.52999877929688,102.88999938964844,85.9800033569336,100.77999877929688,107.06999969482422
2010-02-02,3.634999990463257,0.09000000357627869,104.86000061035156,102.91000366210938,86.23999786376953,100.54000091552734,107.2300033569336
2010-02-03,3.703000068664551,0.09000000357627869,104.75,102.94999694824219,86.68000030517578,100.4000015258789,107.2300033569336
2010-02-04,3.609999895095825,0.08500000089406967,104.73999786376953,103.29000091552734,85.44999694824219,99.37999725341797,107.4000015258789
2010-02-05,3.5460000038146973,0.08500000089406967,104.41999816894531,103.33000183105469,84.94999694824219,99.02999877929688,107.45999908447266
2010-02-08,3.5920000076293945,0.09000000357627869,104.5199966430664,103.30000305175781,84.58000183105469,99.47000122070312,107.48999786376953
2010-02-09,3.632999897003174,0.10000000149011612,104.27999877929688,103.25,84.75,99.3499984741211,107.44999694824219
2010-02-10,3.694000005722046,0.10000000149011612,103.47000122070312,103.3499984741211,83.61000061035156,99.66000366210938,107.19999694824219
2010-02-11,3.7330000400543213,0.0949999988079071,103.70999908447266,103.36000061035156,83.94999694824219,100.36000061035156,107.04000091552734
2010-02-12,3.693000078201294,0.09000000357627869,103.83000183105469,103.3499984741211,83.9000015258789,100.20999908447266,107.2300033569336
2010-02-16,3.6640000343322754,0.08500000089406967,104.23999786376953,103.3499984741211,84.7300033569336,100.37999725341797,107.38999938964844
2010-02-17,3.742000102996826,0.09000000357627869,103.88999938964844,103.43000030517578,85.37999725341797,100.80999755859375,107.12999725341797
2010-02-18,3.802999973297119,0.08500000089406967,103.81999969482422,103.30000305175781,86.19000244140625,100.56999969482422,107.0
2010-02-19,3.7820000648498535,0.0949999988079071,104.19000244140625,103.33999633789062,86.7699966430664,100.91999816894531,106.91000366210938
2010-02-22,3.7990000247955322,0.08500000089406967,104.25,103.25,86.87999725341797,100.97000122070312,106.9800033569336
2010-02-23,3.690999984741211,0.11500000208616257,104.5,103.36000061035156,86.25,100.80999755859375,107.19999694824219
2010-02-24,3.694999933242798,0.10999999940395355,104.94999694824219,103.52999877929688,86.58000183105469,100.95999908447266,107.18000030517578
2010-02-25,3.6419999599456787,0.11500000208616257,104.83999633789062,103.56999969482422,86.58999633789062,101.31999969482422,107.27999877929688
2010-02-26,3.5950000286102295,0.11500000208616257,105.52999877929688,103.69000244140625,87.16999816894531,102.08999633789062,107.31999969482422
2010-03-01,3.6059999465942383,0.11999999731779099,105.22000122070312,103.30999755859375,86.58999633789062,101.68000030517578,107.04000091552734
2010-03-02,3.614000082015991,0.125,105.44000244140625,103.41999816894531,87.1500015258789,102.51000213623047,107.19000244140625
2010-03-03,3.625,0.13500000536441803,105.66000366210938,103.51000213623047,87.23999786376953,102.4000015258789,107.29000091552734
2010-03-04,3.6059999465942383,0.13500000536441803,105.70999908447266,103.62999725341797,87.30999755859375,102.5,107.2699966430664
2010-03-05,3.681999921798706,0.14499999582767487,105.58000183105469,103.69000244140625,87.83000183105469,102.61000061035156,107.18000030517578
2010-03-08,3.7079999446868896,0.14499999582767487,105.75,103.69999694824219,87.8499984741211,103.0199966430664,107.20999908447266
