Date,GC=F,SI=F,CL=F,BZ=F,NG=F,HG=F,ALI=F,PA=F
2010-01-04,1117.699951171875,17.440000534057617,81.51000213623047,80.12000274658203,5.883999824523926,3.388000011444092,,419.79998779296875
2010-01-05,1118.0999755859375,17.7810001373291,81.7699966430664,80.58999633789062,5.63700008392334,3.3959999084472656,,420.3500061035156
2010-01-06,1135.9000244140625,18.163000106811523,83.18000030517578,81.88999938964844,6.008999824523926,3.4774999618530273,,425.6000061035156
2010-01-07,1133.0999755859375,18.33300018310547,82.66000366210938,81.51000213623047,5.806000232696533,3.4114999771118164,,422.95001220703125
2010-01-08,1138.199951171875,18.45800018310547,82.75,81.37000274658203,5.749000072479248,3.388000011444092,,424.1499938964844
2010-01-11,1150.699951171875,18.683000564575195,82.5199966430664,80.97000122070312,5.453999996185303,3.428499937057495,,430.95001220703125
2010-01-12,1128.9000244140625,18.243000030517578,80.79000091552734,79.30000305175781,5.591000080108643,3.3375000953674316,,424.79998779296875
2010-01-13,1136.4000244140625,18.538000106811523,79.6500015258789,78.30999755859375,5.732999801635742,3.387500047683716,,423.95001220703125
2010-01-14,1142.5999755859375,18.64299964904785,79.38999938964844,77.81999969482422,5.5879998207092285,3.375999927520752,,442.79998779296875
2010-01-15,1130.0999755859375,18.410999298095703,78.0,77.11000061035156,5.690999984741211,3.3550000190734863,,447.5
2010-01-19,1139.699951171875,18.784000396728516,79.0199966430664,77.62999725341797,5.557000160217285,3.437000036239624,,461.70001220703125
2010-01-20,1112.300048828125,17.865999221801758,77.62000274658203,76.31999969482422,5.495999813079834,3.3459999561309814,,461.79998779296875
2010-01-21,1102.699951171875,17.496000289916992,76.08000183105469,74.58000183105469,5.614999771118164,3.2850000858306885,,453.70001220703125
2010-01-22,1089.199951171875,16.917999267578125,74.54000091552734,72.83000183105469,5.818999767303467,3.3385000228881836,,439.8500061035156
2010-01-25,1095.199951171875,17.131000518798828,75.26000213623047,73.69000244140625,5.7220001220703125,3.384000062942505,,439.75
2010-01-26,1097.9000244140625,16.84600067138672,74.70999908447266,73.29000091552734,5.485000133514404,3.3289999961853027,,427.29998779296875
2010-01-27,1084.4000244140625,16.42799949645996,73.66999816894531,72.23999786376953,5.27400016784668,3.2144999504089355,,416.5
2010-01-28,1083.5999755859375,16.20199966430664,73.63999938964844,72.12999725341797,5.138000011444092,3.0899999141693115,,
2010-01-29,1083.0,16.183000564575195,72.88999938964844,71.45999908447266,5.13100004196167,3.0460000038146973,,
2010-02-01,1104.300048828125,16.652999877929688,74.43000030517578,73.11000061035156,5.434000015258789,3.0785000324249268,,
2010-02-02,1117.4000244140625,16.736000061035156,77.2300033569336,76.05999755859375,5.453999996185303,3.0850000381469727,,
2010-02-03,1111.4000244140625,16.309999465942383,76.9800033569336,75.91999816894531,5.419000148773193,2.9679999351501465,,
2010-02-04,1062.4000244140625,15.343000411987305,73.13999938964844,72.12999725341797,5.415999889373779,2.875499963760376,,
2010-02-05,1052.199951171875,14.822999954223633,71.19000244140625,69.58999633789062,5.514999866485596,2.8540000915527344,,
2010-02-08,1065.699951171875,15.07800006866455,71.88999938964844,70.11000061035156,5.401000022888184,2.9094998836517334,,
2010-02-09,1076.699951171875,15.430999755859375,73.75,72.12999725341797,5.289999961853027,2.9835000038146973,,
2010-02-10,1075.800048828125,15.302000045776367,74.5199966430664,72.54000091552734,5.291999816894531,2.9860000610351562,,
2010-02-11,1094.199951171875,15.592000007629395,75.27999877929688,73.05000305175781,5.395999908447266,3.129499912261963,,
2010-02-12,1089.5,15.449000358581543,74.12999725341797,72.9000015258789,5.4679999351501465,3.0789999961853027,,
2010-02-16,1119.300048828125,16.149999618530273,77.01000213623047,75.68000030517578,5.309999942779541,3.2184998989105225,,
2010-02-17,1119.5,16.097999572753906,77.33000183105469,76.2699966430664,5.386000156402588,3.2385001182556152,,
2010-02-18,1118.0,16.059999465942383,79.05999755859375,77.77999877929688,5.171999931335449,3.2850000858306885,,
2010-02-19,1121.300048828125,16.413000106811523,79.80999755859375,78.19000244140625,5.044000148773193,3.3570001125335693,,
2010-02-22,1112.5999755859375,16.222000122070312,80.16000366210938,78.61000061035156,4.894999980926514,3.30649995803833,,442.1000061035156
2010-02-23,1102.699951171875,15.887999534606934,78.86000061035156,77.25,4.7779998779296875,3.2139999866485596,,434.0
2010-02-24,1096.5,15.9399995803833,80.0,78.08999633789062,4.815999984741211,3.2355000972747803,,422.70001220703125
2010-02-25,1107.800048828125,16.110000610351562,78.16999816894531,76.29000091552734,4.767000198364258,3.192500114440918,,423.29998779296875
2010-02-26,1118.300048828125,16.5,79.66000366210938,77.58999633789062,4.813000202178955,3.2685000896453857,,432.3999938964844
2010-03-01,1117.800048828125,16.448999404907227,78.69999694824219,76.88999938964844,4.678999900817871,3.3329999446868896,,436.5
2010-03-02,1136.9000244140625,17.04400062561035,79.68000030517578,78.18000030517578,4.708000183105469,3.3954999446868896,,443.45001220703125
2010-03-03,1142.699951171875,17.30900001525879,80.87000274658203,79.25,4.756999969482422,3.4189999103546143,,449.5
2010-03-04,1132.5999755859375,17.1560001373291,80.20999908447266,78.54000091552734,4.574999809265137,3.3605000972747803,,461.75
2010-03-05,1134.800048828125,17.36199951171875,81.5,79.88999938964844,4.5929999351501465,3.4024999141693115,,475.3999938964844
2010-03-08,1123.5999755859375,17.25200080871582,81.87000274658203,80.47000122070312,4.5269999504089355,3.3965001106262207,,470.3500061035156
2010-03-09,1122.0,17.31800079345703,81.48999786376953,79.91000366210938,4.515999794006348,3.3980000019073486,,468.29998779296875
